rating,review_count,isbn,booktype,author_url,year,genre_urls,dir,rating_count,name,author
5.0,28.0,Unknown,good_reads:book,https://www.goodreads.com/author/show/6467808.Othen_Donald_Dale_Cummings,2014.0,/genres/poetry|/genres/childrens,dir18/22204746-an-elephant-is-on-my-house.html,64.0,An Elephant Is On My House,Othen_Donald_Dale_Cummings
5.0,3.0,1300589469,good_reads:book,https://www.goodreads.com/author/show/6906561.I_M_Nobody,2012.0,Unknown,dir22/17287259-a-book-about-absolutely-nothing.html,63.0,A Book About Absolutely Nothing.,I_M_Nobody
5.0,9.0,Unknown,good_reads:book,https://www.goodreads.com/author/show/7738947.Sarah_Robinson,2014.0,/genres/romance|/genres/new-adult,dir56/21902777-untainted.html,14.0,"Untainted (Photographer Trilogy, #3)",Sarah_Robinson
5.0,0.0,0983002282,good_reads:book,https://www.goodreads.com/author/show/6589034.Rebekah_McClew,2012.0,Unknown,dir30/17608096-obscured-darkness.html,8.0,Obscured Darkness (Family Secrets #2),Rebekah_McClew
5.0,0.0,0983002215,good_reads:book,https://www.goodreads.com/author/show/6589034.Rebekah_McClew,2011.0,Unknown,dir30/16200303-family-secrets.html,9.0,Family Secrets,Rebekah_McClew
5.0,0.0,Unknown,good_reads:book,https://www.goodreads.com/author/show/6896621.Ronda_Paige,2012.0,Unknown,dir45/17259227-patience-s-love.html,7.0,Patience's Love,Ronda_Paige
5.0,0.0,Unknown,good_reads:book,https://www.goodreads.com/author/show/5989528.Subhajit_Ganguly,2012.0,Unknown,dir57/14288412-abstraction-in-theory---laws-of-physical-transaction.html,6.0,Abstraction In Theory - Laws Of Physical Transaction,Subhajit_Ganguly
4.94,6.0,Unknown,good_reads:book,https://www.goodreads.com/author/show/8127793.A_J_Salt,2014.0,Unknown,dir29/21864814-nik-nassa-the-mark-of-destiny.html,16.0,Nik Nassa & the Mark of Destiny,A_J_Salt
4.93,0.0,9789898541,good_reads:book,https://www.goodreads.com/author/show/7458878.Gra_a_Jacinto,2012.0,Unknown,dir29/19065420-la-os-fortes-e-decis-es-dif-ceis.html,14.0,LaÃ§os fortes e decisÃµes difÃ­ceis,Gra_a_Jacinto
4.93,6.0,1453634819,good_reads:book,https://www.goodreads.com/author/show/4808225.Dennis_Sharpe,2010.0,Unknown,dir30/11187861-the-years-distilled.html,28.0,The Years Distilled,Dennis_Sharpe
4.93,7.0,1781843457,good_reads:book,https://www.goodreads.com/author/show/5014793.Chris_Lange,2013.0,/genres/fantasy|/genres/romance|/genres/suspense|/genres/adventure|/genres/romance|/genres/fantasy-romance,dir38/18080358-blade-heart.html,15.0,Blade Heart,Chris_Lange
4.92,2.0,147930414X,good_reads:book,https://www.goodreads.com/author/show/6467808.Othen_Donald_Dale_Cummings,2012.0,Unknown,dir21/20363899-happy-halloween.html,49.0,Happy Halloween,Othen_Donald_Dale_Cummings
4.92,5.0,Unknown,good_reads:book,https://www.goodreads.com/author/show/5227478.Alecia_Stone,2014.0,/genres/young-adult,dir33/13495579-blackout.html,25.0,Blackout (Talisman of El #2),Alecia_Stone
4.88,1.0,Unknown,good_reads:book,https://www.goodreads.com/author/show/8433703.Ahmad_Baari,2014.0,Unknown,dir45/22884686-my-two-cents.html,8.0,My Two Cents,Ahmad_Baari
4.86,4.0,1477504540,good_reads:book,https://www.goodreads.com/author/show/5989528.Subhajit_Ganguly,2013.0,Unknown,dir56/17695243-call-of-the-lost-ages.html,7.0,Call Of The Lost Ages,Subhajit_Ganguly
4.85,26.0,1491732954,good_reads:book,https://www.goodreads.com/author/show/8189303.Omar_Farhad,2014.0,/genres/fiction,dir10/22242097-honor-and-polygamy.html,97.0,Honor and Polygamy,Omar_Farhad
4.85,104.0,Unknown,good_reads:book,https://www.goodreads.com/author/show/8472193.Tyler_Chase,2014.0,/genres/romance,dir20/23258641-van-laven-chronicles.html,201.0,Van Laven Chronicles,Tyler_Chase
